0
0
0
0
0
0
0
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70,70,70,70,70,70,70,70,70,70,70
30,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,30,70,70,70,70,70,70,70,70,70,70,70,70,70
30,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,30,70,70,70,70,70,70,70,70,70,70,70,70,70
30,60,60,60,60,21,60,60,60,60,60,60,60,60,60,60,21,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,21,60,60,60,30,70,70,70,70,70,70,70,70,70,70,70,70,70
30,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,30,70,70,70,70,70,70,70,70,70,70,70,70,70
30,61,60,60,60,60,60,60,60,60,4,61,2,60,60,60,60,60,60,60,60,60,41,60,51,4,31,60,60,60,60,60,60,3,60,51,30,70,70,70,70,70,70,70,70,70,70,70,70,70
20,0,0,10,10,10,10,10,10,10,0,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,10,0,0,0,20,70,70,70,70,70,70,70,70,70,70,70,70,70
30,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,30,70,70,70,70,70,70,70,70,70,70,70,70,70
30,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,30,70,70,70,70,70,70,70,70,70,70,70,70,70
